color,center,shape
blue,[37 32],circle
orange,[66 49],circle
gray,[ 7 35],rectangle
yellow,[37 14],rectangle
red,[10 18],rectangle
green,[37 67],rectangle
blue,[49 28],circle
orange,[35 49],rectangle
gray,[27 36],circle
yellow,[44  5],circle
red,[46 58],circle
green,[66 41],circle
blue,[11 24],circle
orange,[49 15],rectangle
gray,[38 44],circle
yellow,[30 21],circle
red,[51 47],rectangle
green,[39 21],rectangle
blue,[44 67],rectangle
orange,[ 7 48],circle
gray,[66 63],rectangle
yellow,[21 33],circle
red,[55 56],circle
green,[28 43],rectangle
blue,[43 21],circle
orange,[ 8 20],rectangle
gray,[67 11],rectangle
yellow,[58 36],circle
red,[ 9 62],rectangle
green,[66 60],circle
blue,[45 29],circle
orange,[24 29],rectangle
gray,[40  9],rectangle
yellow,[15 48],circle
red,[60 11],circle
green,[43 48],circle
blue,[21 40],circle
orange,[18 64],rectangle
gray,[29 23],circle
yellow,[57 57],circle
red,[ 7 18],rectangle
green,[20 29],circle
blue,[34 53],circle
orange,[51 34],rectangle
gray,[63 62],circle
yellow,[57 19],rectangle
red,[13 32],circle
green,[12 14],circle
blue,[47 37],circle
orange,[63 29],rectangle
gray,[57 10],rectangle
yellow,[34 48],circle
red,[32 53],rectangle
green,[65 56],rectangle
blue,[15 67],rectangle
orange,[60 37],rectangle
gray,[ 9 22],circle
yellow,[ 8 45],circle
red,[26  6],circle
green,[12 31],circle
blue,[49 37],rectangle
orange,[23 47],circle
gray,[67 26],circle
yellow,[60 51],rectangle
red,[ 7 28],rectangle
green,[44 17],circle
blue,[60 20],circle
orange,[35 60],circle
gray,[49 42],rectangle
yellow,[ 5 65],circle
red,[35 40],rectangle
green,[60 45],circle
blue,[47 29],circle
orange,[68 10],rectangle
gray,[ 8 64],rectangle
yellow,[38 16],circle
red,[55 39],circle
green,[20 54],circle
blue,[59  6],rectangle
orange,[ 9 35],circle
gray,[ 8 20],circle
yellow,[25 18],circle
red,[12 13],rectangle
green,[30 55],circle
blue,[56 60],rectangle
orange,[63  7],rectangle
gray,[63 43],rectangle
yellow,[16 63],rectangle
red,[57 38],rectangle
green,[33  8],circle
blue,[ 7 45],circle
orange,[29 50],rectangle
gray,[18 19],rectangle
yellow,[59 20],rectangle
red,[50 10],rectangle
green,[32 26],rectangle
blue,[ 7 31],rectangle
orange,[30 57],circle
gray,[18 19],rectangle
yellow,[48 32],circle
red,[53 47],rectangle
green,[22 66],rectangle
blue,[43 69],rectangle
orange,[44 32],circle
gray,[26 29],circle
yellow,[39  6],circle
red,[68 26],rectangle
green,[48 22],rectangle
blue,[68 65],rectangle
orange,[14 10],circle
gray,[19 60],rectangle
yellow,[68  9],rectangle
red,[31 68],circle
green,[55 23],rectangle
blue,[63 39],circle
orange,[25  8],rectangle
gray,[25 43],rectangle
yellow,[ 6 68],rectangle
red,[31  6],circle
green,[49 30],rectangle
blue,[64 38],rectangle
orange,[56 62],circle
gray,[25 69],circle
yellow,[69 17],rectangle
red,[63 69],circle
green,[35 22],rectangle
blue,[20 42],rectangle
orange,[54  8],circle
gray,[64 41],circle
yellow,[ 6 36],circle
red,[19 35],circle
green,[53 34],rectangle
blue,[24 13],circle
orange,[38 62],rectangle
gray,[10 64],rectangle
yellow,[38 43],circle
red,[16  6],circle
green,[30 42],circle
blue,[40 23],rectangle
orange,[58 33],rectangle
gray,[69 19],rectangle
yellow,[10 50],circle
red,[17 16],rectangle
green,[ 6 53],rectangle
blue,[51 21],circle
orange,[35 25],circle
gray,[29 56],circle
yellow,[55 53],circle
red,[48  9],rectangle
green,[29 11],rectangle
blue,[ 6 58],circle
orange,[22 69],rectangle
gray,[26 40],rectangle
yellow,[57 67],circle
red,[37  8],rectangle
green,[61 57],circle
blue,[11 54],circle
orange,[16 21],circle
gray,[38 35],circle
yellow,[61 37],rectangle
red,[10 25],circle
green,[30 60],circle
blue,[67 58],rectangle
orange,[ 9 57],circle
gray,[60 22],rectangle
yellow,[51 52],circle
red,[44  7],rectangle
green,[17 64],rectangle
blue,[37 44],rectangle
orange,[46 28],rectangle
gray,[ 9 17],circle
yellow,[59 50],circle
red,[33 15],circle
green,[27 44],rectangle
blue,[17 62],circle
orange,[ 8 14],rectangle
gray,[56 37],rectangle
yellow,[56 54],circle
red,[33 50],rectangle
green,[ 6 68],circle
blue,[28 31],rectangle
orange,[68 32],circle
gray,[13 30],rectangle
yellow,[48 14],circle
red,[38 41],circle
green,[42 26],rectangle
blue,[31 69],circle
orange,[61 66],rectangle
gray,[10 66],rectangle
yellow,[19 41],rectangle
red,[67 45],rectangle
green,[60 18],circle
blue,[45 35],circle
orange,[18 49],rectangle
gray,[34 63],rectangle
yellow,[37 12],rectangle
red,[50 18],rectangle
green,[10 57],circle
blue,[24 18],circle
orange,[25 67],circle
gray,[57 52],rectangle
yellow,[39 59],rectangle
red,[22 67],rectangle
green,[67 51],rectangle
blue,[38 49],circle
orange,[20 20],circle
gray,[39 66],rectangle
yellow,[64 34],rectangle
red,[10 29],circle
green,[43 55],rectangle
blue,[28  8],rectangle
orange,[47 34],rectangle
gray,[32 41],rectangle
yellow,[45 10],circle
red,[16  5],rectangle
green,[24 46],circle
blue,[29 63],circle
orange,[62 38],rectangle
gray,[54  7],rectangle
yellow,[37 12],rectangle
red,[20 67],rectangle
green,[52  8],circle
blue,[61 49],circle
orange,[53 28],circle
gray,[45 57],circle
yellow,[34  5],circle
red,[38 38],rectangle
green,[23 60],circle
blue,[47  7],circle
orange,[68 65],circle
gray,[ 6 59],rectangle
yellow,[22 19],rectangle
red,[68 58],rectangle
green,[ 8 53],rectangle
blue,[57 40],circle
orange,[27 40],circle
gray,[35 20],circle
yellow,[11 35],circle
red,[62 59],rectangle
green,[21 64],rectangle
blue,[33 18],circle
orange,[56 22],circle
gray,[42 47],rectangle
yellow,[58 38],rectangle
red,[55 63],circle
green,[64 49],rectangle
blue,[14 46],circle
orange,[32 32],rectangle
gray,[37 55],rectangle
yellow,[32  5],circle
red,[46  7],rectangle
green,[61 34],circle
blue,[33 54],circle
orange,[62  8],circle
gray,[53 52],rectangle
yellow,[23  8],circle
red,[50  9],rectangle
green,[65 64],rectangle
blue,[44 67],rectangle
orange,[54 38],circle
gray,[15 45],circle
yellow,[67 49],rectangle
red,[39  9],rectangle
green,[26 54],circle
blue,[45 43],rectangle
orange,[13 24],circle
gray,[16 41],circle
yellow,[45 24],circle
red,[40 22],rectangle
green,[55 48],circle
blue,[61 28],rectangle
orange,[ 8 12],circle
gray,[28 13],circle
yellow,[35 67],rectangle
red,[28 50],rectangle
green,[20 68],rectangle
blue,[36 35],circle
orange,[58 34],circle
gray,[14  7],circle
yellow,[45 19],rectangle
red,[12  7],rectangle
green,[23 69],circle
blue,[30  5],rectangle
orange,[44 68],circle
gray,[45 52],circle
yellow,[25 24],rectangle
red,[50 16],circle
green,[ 6 49],rectangle
blue,[28 25],rectangle
orange,[47 50],rectangle
gray,[22 54],circle
yellow,[64 10],circle
red,[27 57],rectangle
green,[59 23],rectangle
blue,[10 58],rectangle
orange,[ 6 42],circle
gray,[10 25],circle
yellow,[42 42],circle
red,[45 49],circle
green,[22 56],rectangle
blue,[57 12],rectangle
orange,[13 19],circle
gray,[10 67],circle
yellow,[43 34],rectangle
red,[42 14],rectangle
green,[11 49],rectangle
blue,[22 61],rectangle
orange,[47 65],rectangle
gray,[22 11],circle
yellow,[ 6 22],circle
red,[31 29],rectangle
green,[69  9],circle
blue,[32 13],circle
orange,[52 56],rectangle
gray,[69 35],circle
yellow,[65 64],circle
red,[24 10],circle
green,[47 13],rectangle
blue,[50 66],rectangle
orange,[65 48],circle
gray,[11 25],rectangle
yellow,[52 33],circle
red,[68 50],circle
green,[25  8],rectangle
blue,[58 62],circle
orange,[66  7],rectangle
gray,[28 27],rectangle
yellow,[20 59],rectangle
red,[46 41],circle
green,[69 18],circle
blue,[ 7 29],rectangle
orange,[ 6 56],circle
gray,[39 25],circle
yellow,[46 10],circle
red,[63 37],circle
green,[59 53],rectangle
blue,[21 57],circle
orange,[31 43],circle
gray,[50 26],circle
yellow,[15 37],rectangle
red,[35 42],rectangle
green,[47 24],rectangle
blue,[12 48],circle
orange,[49 49],rectangle
gray,[19 20],rectangle
yellow,[39 63],rectangle
red,[13 67],rectangle
green,[10 44],rectangle
blue,[48 32],rectangle
orange,[49 11],rectangle
gray,[33 49],circle
yellow,[52 48],circle
red,[65 68],rectangle
green,[34 40],rectangle
blue,[29 61],rectangle
orange,[ 8 53],rectangle
gray,[56 52],circle
yellow,[16 39],circle
red,[56 69],circle
green,[22 57],circle
blue,[33  7],circle
orange,[56 27],rectangle
gray,[ 6 41],circle
yellow,[37 53],rectangle
red,[59 43],circle
green,[25 21],rectangle
blue,[16 57],rectangle
orange,[45 33],rectangle
gray,[36 65],circle
yellow,[49 56],circle
red,[18 20],rectangle
green,[63 13],rectangle
blue,[60 66],rectangle
orange,[34 30],circle
gray,[30 62],circle
yellow,[10 36],circle
red,[54 40],rectangle
green,[33  8],rectangle
blue,[ 9 61],circle
orange,[ 6 32],rectangle
gray,[52 23],rectangle
yellow,[41 69],circle
red,[32 63],circle
green,[12 51],rectangle
blue,[26 30],circle
orange,[43 16],rectangle
gray,[60 23],circle
yellow,[23 15],circle
red,[21 10],rectangle
green,[38 10],circle
blue,[51 62],rectangle
orange,[17 60],rectangle
gray,[22 28],circle
yellow,[37 46],rectangle
red,[50 12],rectangle
green,[40 65],circle
blue,[65 43],rectangle
orange,[60 65],rectangle
gray,[ 7 43],circle
yellow,[24 33],circle
red,[30 46],rectangle
green,[49 51],circle
blue,[29 30],rectangle
orange,[59 63],rectangle
gray,[ 8 44],circle
yellow,[54 26],rectangle
red,[15 30],circle
green,[38 23],rectangle
blue,[13 50],rectangle
orange,[32 39],rectangle
gray,[53 27],rectangle
yellow,[68 37],rectangle
red,[64 46],circle
green,[21 33],rectangle
blue,[ 6 18],rectangle
orange,[61 21],rectangle
gray,[15 52],circle
yellow,[37 53],circle
red,[63 25],circle
green,[36 61],circle
blue,[52 40],rectangle
orange,[29 28],rectangle
gray,[68 60],rectangle
yellow,[49 13],circle
red,[59 14],rectangle
green,[46 34],circle
blue,[52 51],circle
orange,[65 29],rectangle
gray,[25 48],circle
yellow,[29 21],rectangle
red,[31 49],circle
green,[67  6],circle
blue,[39 17],circle
orange,[45 59],circle
gray,[46 42],circle
yellow,[17 21],circle
red,[68 49],circle
green,[13 50],rectangle
blue,[54 41],circle
orange,[40 62],rectangle
gray,[27 17],rectangle
yellow,[61 69],rectangle
red,[45 29],circle
green,[16 26],rectangle
blue,[60 25],circle
orange,[ 8 56],rectangle
gray,[40 63],rectangle
yellow,[32 15],rectangle
red,[29 51],circle
green,[42  9],rectangle
blue,[42 35],rectangle
orange,[59 42],rectangle
gray,[58 65],rectangle
yellow,[19  6],rectangle
red,[51  9],circle
green,[32 43],rectangle
blue,[43 32],circle
orange,[17 43],rectangle
gray,[25 13],circle
yellow,[12 65],rectangle
red,[28 54],rectangle
green,[17 21],rectangle
blue,[48 32],circle
orange,[ 5 35],rectangle
gray,[64 61],circle
yellow,[45 69],rectangle
red,[47 68],rectangle
green,[33 37],circle
blue,[52 12],rectangle
orange,[9 6],rectangle
gray,[24 56],circle
yellow,[69 35],circle
red,[ 8 38],rectangle
green,[36  5],circle
blue,[43 64],rectangle
orange,[59 30],circle
gray,[ 9 64],circle
yellow,[33 30],circle
red,[60 42],circle
green,[45 20],rectangle
blue,[38 40],rectangle
orange,[63 59],rectangle
gray,[25 19],circle
yellow,[44 62],circle
red,[54 46],circle
green,[13 57],circle
blue,[69  5],circle
orange,[38 51],circle
gray,[57 28],circle
yellow,[24 10],circle
red,[63 25],rectangle
green,[42 58],rectangle
blue,[ 5 31],circle
orange,[18  8],rectangle
gray,[49  6],circle
yellow,[15 55],rectangle
red,[51 23],rectangle
green,[35 65],rectangle
blue,[21 35],rectangle
orange,[49 44],rectangle
gray,[19 58],rectangle
yellow,[32  7],rectangle
red,[44 43],circle
green,[65 51],rectangle
blue,[28 21],circle
orange,[34 65],rectangle
gray,[52 11],circle
yellow,[ 5 62],circle
red,[38 39],circle
green,[16 29],rectangle
blue,[49 19],rectangle
orange,[32 18],circle
gray,[65 60],rectangle
yellow,[47 51],circle
red,[66 17],rectangle
green,[50 12],rectangle
blue,[61 50],circle
orange,[21  6],rectangle
gray,[15 49],circle
yellow,[17 64],rectangle
red,[26 61],circle
green,[41 40],rectangle
blue,[50 20],rectangle
orange,[ 9 46],circle
gray,[ 9 19],circle
yellow,[60 62],circle
red,[10 41],rectangle
green,[27 60],rectangle
blue,[40 18],rectangle
orange,[64 65],circle
gray,[50 50],circle
yellow,[19 25],circle
red,[54  6],rectangle
green,[12 17],rectangle
blue,[35 21],rectangle
orange,[36 69],circle
gray,[41 39],rectangle
yellow,[29 54],circle
red,[33  6],circle
green,[51 22],rectangle
blue,[ 9 39],rectangle
orange,[48 53],circle
gray,[23 49],rectangle
yellow,[65 12],circle
red,[45 68],rectangle
green,[ 8 19],circle
blue,[18 52],rectangle
orange,[62 29],circle
gray,[67 63],rectangle
yellow,[47 21],circle
red,[39 53],rectangle
green,[58 63],rectangle
blue,[ 7 44],circle
orange,[32 68],rectangle
gray,[12 14],circle
yellow,[57 14],rectangle
red,[12 44],circle
green,[45 65],rectangle
blue,[26 33],circle
orange,[60  9],rectangle
gray,[52 26],circle
yellow,[37  8],rectangle
red,[42 22],circle
green,[ 6 23],circle
blue,[50 55],rectangle
orange,[60 32],circle
gray,[15 59],circle
yellow,[25 10],circle
red,[52 16],circle
green,[32 28],rectangle
blue,[12 41],rectangle
orange,[69 19],circle
gray,[13 11],circle
yellow,[57 43],circle
red,[18 25],circle
green,[63 61],circle
blue,[52 21],rectangle
orange,[ 7 48],rectangle
gray,[33 34],circle
yellow,[68 22],rectangle
red,[51 10],rectangle
green,[59 62],circle
blue,[56 27],circle
orange,[ 8 34],circle
gray,[68 41],rectangle
yellow,[36 63],rectangle
red,[43  6],circle
green,[24  8],rectangle
blue,[12 57],circle
orange,[57 66],rectangle
gray,[20 33],circle
yellow,[32 22],circle
red,[28 34],circle
green,[ 6 37],circle
blue,[41 69],rectangle
orange,[56  7],rectangle
gray,[13 60],rectangle
yellow,[22 10],rectangle
red,[53 43],circle
green,[ 5 21],rectangle
blue,[36 27],circle
orange,[56  7],circle
gray,[64 30],rectangle
yellow,[20 63],circle
red,[26 57],rectangle
green,[45 21],rectangle
blue,[25 24],rectangle
orange,[25 40],rectangle
gray,[63 36],circle
yellow,[66 65],rectangle
red,[22 55],rectangle
green,[42 44],rectangle
blue,[43 17],rectangle
orange,[60 22],circle
gray,[28 28],circle
yellow,[46 69],rectangle
red,[69 23],circle
green,[59 53],rectangle
blue,[16 61],circle
orange,[37 48],rectangle
gray,[18 29],circle
yellow,[44 34],rectangle
red,[36 43],circle
green,[21  5],circle
blue,[ 6 12],rectangle
orange,[ 6 27],circle
gray,[56 15],rectangle
yellow,[22 55],rectangle
red,[31 46],circle
green,[53 69],circle
blue,[23 32],rectangle
orange,[14 13],rectangle
gray,[62 45],rectangle
yellow,[ 9 60],circle
red,[42 58],rectangle
green,[69 32],rectangle
blue,[19 11],circle
orange,[ 8 57],rectangle
gray,[41 41],circle
yellow,[ 5 22],rectangle
red,[47 51],circle
green,[ 8 34],rectangle
blue,[12 55],rectangle
orange,[50 23],rectangle
gray,[36 67],circle
yellow,[28 54],rectangle
red,[28 25],circle
green,[64 25],rectangle
blue,[32 53],rectangle
orange,[ 7 29],rectangle
gray,[67 65],circle
yellow,[56 49],circle
red,[57 58],rectangle
green,[15 37],circle
blue,[ 8 53],circle
orange,[33 56],rectangle
gray,[55  9],circle
yellow,[31 11],rectangle
red,[68 15],rectangle
green,[ 6 48],circle
blue,[47 50],rectangle
orange,[43 28],rectangle
gray,[21 35],rectangle
yellow,[36  8],circle
red,[13  9],circle
green,[57 24],rectangle
blue,[22 45],rectangle
orange,[52 67],rectangle
gray,[ 9 63],rectangle
yellow,[38 27],rectangle
red,[7 8],rectangle
green,[47 66],circle
blue,[29 19],rectangle
orange,[24 60],circle
gray,[67 53],rectangle
yellow,[42 39],rectangle
red,[18  8],rectangle
green,[35  5],circle
blue,[62 21],rectangle
orange,[21 59],circle
gray,[66 52],circle
yellow,[29 31],circle
red,[61 59],rectangle
green,[29 32],circle
blue,[53 24],circle
orange,[30 55],circle
gray,[ 8 54],rectangle
yellow,[ 5 39],circle
red,[59 24],circle
green,[35 14],rectangle
blue,[11 58],circle
orange,[29 31],rectangle
gray,[50 66],circle
yellow,[12 40],circle
red,[52 68],circle
green,[48 30],circle
blue,[29 36],circle
orange,[39 10],circle
gray,[15 29],rectangle
yellow,[61 45],circle
red,[67 11],rectangle
green,[60 68],circle
blue,[27 22],rectangle
orange,[44 43],rectangle
gray,[13 37],rectangle
yellow,[64 47],rectangle
red,[50 66],circle
green,[50 28],rectangle
blue,[29 36],rectangle
orange,[51 48],circle
gray,[28  6],circle
yellow,[ 9 42],rectangle
red,[34 27],rectangle
green,[69 22],rectangle
blue,[10 54],circle
orange,[60  8],circle
gray,[43 41],circle
yellow,[25  7],circle
red,[33 56],circle
green,[43  8],rectangle
blue,[29 16],rectangle
orange,[37 33],rectangle
gray,[67 24],circle
yellow,[63 49],circle
red,[62 67],circle
green,[21 28],rectangle
blue,[17 12],circle
orange,[50 18],rectangle
gray,[27 47],rectangle
yellow,[36 61],circle
red,[30 50],circle
green,[62 41],circle
blue,[65  9],circle
orange,[15 32],rectangle
gray,[47 60],circle
yellow,[50 12],circle
red,[43 48],rectangle
green,[26 31],rectangle
blue,[11 29],circle
orange,[10 12],circle
gray,[30 13],rectangle
yellow,[48 21],rectangle
red,[63 48],circle
green,[39 37],circle
blue,[45 12],circle
orange,[ 7 48],circle
gray,[24 46],rectangle
yellow,[17 68],circle
red,[11 45],rectangle
green,[63 36],rectangle
blue,[51 49],rectangle
orange,[15 10],circle
gray,[39 58],rectangle
yellow,[55  7],circle
red,[49 34],circle
green,[38 61],circle
blue,[64 56],rectangle
orange,[35 20],rectangle
gray,[ 9 65],rectangle
yellow,[24 47],rectangle
red,[27 29],rectangle
green,[ 6 36],circle
blue,[67 60],circle
orange,[ 9 62],rectangle
gray,[67 17],rectangle
yellow,[ 9 14],circle
red,[53 40],rectangle
green,[66 53],circle
blue,[22 58],rectangle
orange,[21 24],rectangle
gray,[18 41],circle
yellow,[33  9],circle
red,[56 20],circle
green,[10 52],circle
blue,[10 16],rectangle
orange,[47 67],circle
gray,[64 54],circle
yellow,[27 69],circle
red,[64 19],circle
green,[67 41],rectangle
blue,[32 34],rectangle
orange,[50 28],circle
gray,[12 63],rectangle
yellow,[19 47],rectangle
red,[59 48],circle
green,[20 52],rectangle
blue,[13 30],circle
orange,[66 27],rectangle
gray,[38 40],rectangle
yellow,[41  5],circle
red,[50 31],rectangle
green,[68 67],circle
blue,[ 9 45],rectangle
orange,[6 6],rectangle
gray,[21 66],circle
yellow,[41 43],circle
red,[42 23],circle
green,[11 25],rectangle
blue,[16 40],circle
orange,[68 11],circle
gray,[30 48],rectangle
yellow,[37  5],circle
red,[56 51],circle
green,[31 46],rectangle
blue,[42 10],rectangle
orange,[38 32],circle
gray,[17 37],rectangle
yellow,[ 6 21],circle
red,[40 56],rectangle
green,[33 25],circle
blue,[54 69],circle
orange,[55 15],rectangle
gray,[5 8],rectangle
yellow,[58 48],rectangle
red,[63 57],rectangle
green,[54 15],rectangle
blue,[43 67],circle
orange,[40  7],rectangle
gray,[ 6 54],circle
yellow,[40 31],rectangle
red,[44 67],circle
green,[12 39],rectangle
blue,[23 55],rectangle
orange,[54 30],rectangle
gray,[69 20],circle
yellow,[32 12],rectangle
red,[14 45],circle
green,[29  8],rectangle
blue,[55 51],rectangle
orange,[21 62],circle
gray,[31 32],circle
yellow,[60 30],circle
red,[41 19],circle
green,[44 60],rectangle
blue,[65 58],circle
orange,[61  5],circle
gray,[38 36],rectangle
yellow,[67 40],circle
red,[59 65],circle
green,[38 39],rectangle
blue,[24 65],rectangle
orange,[41 15],circle
gray,[14 24],rectangle
yellow,[56 16],rectangle
red,[62 20],circle
green,[65 65],circle
blue,[26 33],rectangle
orange,[18 54],rectangle
gray,[42 34],rectangle
yellow,[15  6],circle
red,[64 44],circle
green,[18 16],circle
blue,[41 21],rectangle
orange,[21 63],rectangle
gray,[45 49],circle
yellow,[27 35],rectangle
red,[35 66],circle
green,[ 9 22],circle
blue,[35 48],circle
orange,[22  8],circle
gray,[54 16],circle
yellow,[34 30],rectangle
red,[67 17],rectangle
green,[53  5],rectangle
blue,[17 63],rectangle
orange,[37 62],circle
gray,[12 45],rectangle
yellow,[25 20],circle
red,[66 28],rectangle
green,[25 68],rectangle
blue,[48 48],rectangle
orange,[16 38],circle
gray,[24 14],rectangle
yellow,[47 33],circle
red,[58 33],circle
green,[28 50],rectangle
blue,[65 13],circle
orange,[48 19],circle
gray,[40 65],circle
yellow,[68 45],circle
red,[59 38],rectangle
green,[19 15],rectangle
blue,[54 11],circle
orange,[ 7 37],circle
gray,[32 43],circle
yellow,[51 53],circle
red,[53 21],circle
green,[61  7],rectangle
blue,[58 36],rectangle
orange,[51 60],rectangle
gray,[ 9 42],rectangle
yellow,[11 19],circle
red,[45 66],rectangle
green,[28 49],rectangle
blue,[29 22],circle
orange,[66 50],rectangle
gray,[44 23],circle
yellow,[11 36],rectangle
red,[56 46],circle
green,[29 35],circle
blue,[38 64],circle
orange,[59 11],circle
gray,[26 11],circle
yellow,[64 65],circle
red,[51 67],circle
green,[26  6],rectangle
blue,[46 28],circle
orange,[65 41],circle
gray,[12 47],rectangle
yellow,[41 13],rectangle
red,[41 33],circle
green,[59 46],rectangle
blue,[11 17],rectangle
orange,[39 53],circle
gray,[17 50],circle
yellow,[48  9],rectangle
red,[69 17],rectangle
green,[60 63],rectangle
blue,[38 62],rectangle
orange,[59  5],circle
gray,[ 7 25],circle
yellow,[38  9],circle
red,[61 20],rectangle
green,[49 61],rectangle
blue,[24 13],circle
orange,[13 54],rectangle
gray,[ 5 10],rectangle
yellow,[15 32],rectangle
red,[26 38],circle
green,[69 17],rectangle
blue,[ 8 44],circle
orange,[43 53],rectangle
gray,[30  6],circle
yellow,[28 65],rectangle
red,[42 60],circle
green,[28 24],circle
blue,[47 31],circle
orange,[69 56],rectangle
gray,[11 18],circle
yellow,[23 44],rectangle
red,[39 19],rectangle
green,[35 60],circle
blue,[18 69],circle
orange,[ 8 21],circle
gray,[22 13],circle
yellow,[53 56],circle
red,[69 39],rectangle
green,[50 38],circle
blue,[23 14],circle
orange,[66 12],circle
gray,[ 8 16],rectangle
yellow,[14 62],rectangle
red,[18 39],circle
green,[33 48],rectangle
blue,[34  5],circle
orange,[19  8],circle
gray,[55 56],rectangle
yellow,[54 12],circle
red,[37 33],circle
green,[16 52],rectangle
blue,[66 24],circle
orange,[50 43],circle
gray,[16 26],rectangle
yellow,[25 12],circle
red,[ 8 48],circle
green,[10 65],circle
blue,[47 57],rectangle
orange,[31 65],circle
gray,[19 14],rectangle
yellow,[41 34],rectangle
red,[25 59],circle
green,[17 35],circle
blue,[19 11],rectangle
orange,[ 8 55],circle
gray,[63 33],rectangle
yellow,[41 46],rectangle
red,[ 6 40],rectangle
green,[58 34],circle
blue,[39 23],circle
orange,[29 59],rectangle
gray,[10 57],circle
yellow,[14 20],rectangle
red,[23 68],circle
green,[ 6 25],rectangle
blue,[60 41],circle
orange,[29  9],rectangle
gray,[44 41],circle
yellow,[ 8 52],rectangle
red,[ 5 39],rectangle
green,[23  8],rectangle
blue,[ 9 58],circle
orange,[35 69],rectangle
gray,[49 45],circle
yellow,[27 41],circle
red,[47 50],rectangle
green,[57 13],rectangle
blue,[15 10],rectangle
orange,[46 31],circle
gray,[15 28],rectangle
yellow,[66 25],rectangle
red,[69 50],rectangle
green,[42 57],circle
blue,[48  5],rectangle
orange,[24 52],rectangle
gray,[19 20],rectangle
yellow,[63 19],rectangle
red,[26 24],circle
green,[30  6],circle
blue,[32 52],circle
orange,[65 32],rectangle
gray,[49 52],rectangle
yellow,[60 10],circle
red,[46 15],rectangle
green,[33 38],circle
blue,[13 14],circle
orange,[ 9 55],rectangle
gray,[16 37],circle
yellow,[37 57],circle
red,[43 19],rectangle
green,[17 50],circle
blue,[60 24],rectangle
orange,[28 34],circle
gray,[7 9],rectangle
yellow,[55 41],circle
red,[24 42],circle
green,[ 9 48],circle
blue,[ 7 63],rectangle
orange,[51 18],circle
gray,[31 21],rectangle
yellow,[56 64],rectangle
red,[43 64],circle
green,[11 34],rectangle
blue,[62 16],rectangle
orange,[45 46],rectangle
gray,[46 21],circle
yellow,[ 7 19],rectangle
red,[44 16],rectangle
green,[ 7 44],circle
blue,[48 42],circle
orange,[67 31],circle
gray,[58 57],rectangle
yellow,[30 31],rectangle
red,[69 42],circle
green,[ 7 18],circle
blue,[63 57],circle
orange,[30 21],rectangle
gray,[66  6],circle
yellow,[13 32],rectangle
red,[16 38],circle
green,[49 34],rectangle
blue,[35 68],circle
orange,[31 20],circle
gray,[59 18],circle
yellow,[62 67],rectangle
red,[22 36],circle
green,[54 63],circle
blue,[52 42],rectangle
orange,[ 7 24],rectangle
gray,[27 53],rectangle
yellow,[47 22],circle
red,[53 58],rectangle
green,[42 23],rectangle
blue,[34  8],circle
orange,[56 14],circle
gray,[21 45],rectangle
yellow,[36 50],circle
red,[69 18],rectangle
green,[27 49],rectangle
blue,[ 8 15],circle
orange,[48 34],rectangle
gray,[44 61],rectangle
yellow,[67 33],rectangle
red,[17 67],rectangle
green,[29 55],circle
blue,[44 55],circle
orange,[15 45],rectangle
gray,[14 28],circle
yellow,[55 38],circle
red,[39 63],circle
green,[14 33],rectangle
blue,[52  5],circle
orange,[42 47],rectangle
gray,[15 13],circle
yellow,[29 27],circle
red,[14 53],circle
green,[11 31],circle
blue,[42 14],rectangle
orange,[60 55],circle
gray,[11 10],circle
yellow,[68 40],rectangle
red,[36 25],circle
green,[64 24],rectangle
blue,[ 8 66],circle
orange,[37 53],rectangle
gray,[33 68],rectangle
yellow,[59 64],circle
red,[14 42],circle
green,[57 50],circle
blue,[16 59],circle
orange,[30 39],circle
gray,[48 29],rectangle
yellow,[63 22],circle
red,[10 14],rectangle
green,[11 61],rectangle
blue,[56 24],circle
orange,[23 32],circle
gray,[28 57],circle
yellow,[62 63],circle
red,[49 58],circle
green,[34 57],circle
blue,[45 26],rectangle
orange,[ 8 20],rectangle
gray,[ 7 56],circle
yellow,[30 11],circle
red,[40 38],rectangle
green,[ 5 25],rectangle
blue,[66 12],rectangle
orange,[67 53],circle
gray,[41 18],circle
yellow,[37 65],circle
red,[27 39],rectangle
green,[10 20],rectangle
blue,[25 65],circle
orange,[41 47],circle
gray,[ 5 57],circle
yellow,[69 67],circle
red,[48 53],circle
green,[38 30],rectangle
blue,[33 64],rectangle
orange,[68 34],rectangle
gray,[41  9],circle
yellow,[ 8 48],rectangle
red,[56 49],rectangle
green,[51 13],circle
blue,[ 9 60],circle
orange,[35 53],rectangle
gray,[62 64],circle
yellow,[69 34],rectangle
red,[17 60],rectangle
green,[44 14],rectangle
blue,[58 25],rectangle
orange,[54 58],rectangle
gray,[24 21],circle
yellow,[34 56],circle
red,[36 38],circle
green,[69 25],rectangle
blue,[45 66],rectangle
orange,[25 15],circle
gray,[ 9 13],rectangle
yellow,[12 33],circle
red,[14 39],rectangle
green,[28 53],circle
blue,[66 48],rectangle
orange,[66 25],rectangle
gray,[36 33],rectangle
yellow,[46 19],circle
red,[28 37],circle
green,[45  6],circle
blue,[21 67],rectangle
orange,[ 6 46],rectangle
gray,[60 30],rectangle
yellow,[ 8 27],rectangle
red,[63 25],rectangle
green,[64  7],rectangle
